Name_of_Establishment,City,State,Zip Code,Rooms,rating_from_booking.com,number_of_reviews,lat,lon,Class
Cedar Shore Resort,Oacoma, SD ,57365,99,NA,NA,43.82930611,-99.34295967,Upscale Class
Dakota Horizinn,Parkston, SD ,57366,44,NA,NA,43.39596314,-97.99686662,Economy Class
Motel West,Philip, SD ,57567,20,NA,NA,44.04462811,-101.6600048,Economy Class
Fort Randall Casino & Hotel,Pickstown, SD ,57367,57,NA,NA,43.08306342,-98.47557706,Economy Class
Fort Randall Inn,Pickstown, SD ,57367,17,NA,NA,43.06874079,-98.53851266,Economy Class
Dakota Inn,Pickstown, SD ,57367,25,7.1,23 reviews,43.07060652,-98.53025267,Economy Class
Elk Creek Resort & Lodge,Piedmont, SD ,57769,22,NA,NA,44.22728151,-103.3546224,Economy Class
Clubhouse Inn Hotel & Suites Pierre,Pierre, SD ,57501,79,8.2,77 reviews,44.37253578,-100.3628918,Upper Upscale Class
Baymont Inn & Suites Pierre,Pierre, SD ,57501,47,NA,NA,44.37115533,-100.3623017,Midscale Class
Econo Lodge Pierre,Pierre, SD ,57501,56,NA,NA,44.36647766,-100.3519392,Economy Class
Pierre Inn & Suites,Pierre, SD ,57501,52,NA,NA,44.36900099,-100.3544926,Economy Class
Quality Inn Pierre,Pierre, SD ,57501,58,7.1,242 reviews,44.36954255,-100.358042,Midscale Class
Capitol Inn & Suites,Pierre, SD ,57501,142,NA,NA,44.36247208,-100.3408186,Economy Class
Governor's Inn,Pierre, SD ,57501,82,7.9,275 reviews,44.37150237,-100.3614928,Economy Class
Ramkota Hotel & Conference Center,Pierre, SD ,57501,151,7.3,92 reviews,44.37312054,-100.3642287,Upper Midscale Class
Days Inn Pierre,Pierre, SD ,57501,75,6.5,86 reviews,44.37075078,-100.35939,Economy Class
Terrace Motel,Pierre, SD ,57501,46,NA,NA,44.3701398,-100.349194,Economy Class
Super 8 Pierre,Pierre, SD ,57501,74,NA,NA,44.36912092,-100.3571425,Economy Class
Prairie Wind Casino & Hotel,Pine Ridge, SD ,57770,78,NA,NA,43.16211783,-102.9438525,Midscale Class
Rodeway Inn Plankinton,Plankinton, SD ,57368,33,NA,NA,43.70680181,-98.48680527,Economy Class
Dakota Country Inn,Platte, SD ,57369,30,8.9,30 reviews,43.38506993,-98.83288616,Economy Class
King's Inn,Platte, SD ,57369,46,NA,NA,43.38469152,-98.84072646,Economy Class
Hutchs Motel,Presho, SD ,57568,28,NA,NA,43.9024728,-100.053649,Economy Class
GrandStay Residential Suites Rapid City,Rapid City, SD ,57701,53,7.9,615 reviews,44.10820259,-103.225693,Upper Midscale Class
Holiday Inn Rapid City Rushmore Plaza,Rapid City, SD ,57701,205,NA,NA,44.08761345,-103.2230756,Upper Midscale Class
Tru by Hilton Rapid City Rushmore,Rapid City, SD ,57701,98,NA,NA,44.100136,-103.1986253,Midscale Class
MainStay Suites Rapid City,Rapid City, SD ,57701,97,8.1,129 reviews,44.1005864,-103.1610789,Midscale Class
Cambria hotel & suites Rapid City Near Mount Rushmore,Rapid City, SD ,57701,111,NA,NA,44.10037509,-103.1599502,Upscale Class
Hampton Inn Rapid City,Rapid City, SD ,57701,82,8,91 reviews,44.10230768,-103.2004618,Upper Midscale Class
Comfort Inn & Suites Rapid City,Rapid City, SD ,57701,82,7.9,480 reviews,44.05792784,-103.2340985,Upper Midscale Class
My Place Hotel Rapid City,Rapid City, SD ,57701,64,NA,NA,44.10155544,-103.1546699,Upper Midscale Class
Staybridge Suites Rapid City Rushmore,Rapid City, SD ,57701,102,NA,NA,44.0979544,-103.1950657,Upscale Class
Hampton Inn & Suites Rapid City Rushmore,Rapid City, SD ,57701,121,NA,NA,44.09988018,-103.1981034,Upper Midscale Class
Howard Johnson Rapid City,Rapid City, SD ,57701,98,NA,NA,44.09023634,-103.2305955,Economy Class
Hilton Garden Inn Rapid City,Rapid City, SD ,57701,120,8.8,110 reviews,44.10703255,-103.1978618,Upscale Class
Foothills Inn,Rapid City, SD ,57701,64,NA,NA,44.1011385,-103.2036407,Midscale Class
South Dakota Rose Inn,Rapid City, SD ,57701,65,NA,NA,44.08460271,-103.2132799,Economy Class
Time Inn Motel,Rapid City, SD ,57701,59,NA,NA,44.08728865,-103.2014106,Economy Class
Rodeway Inn Rapid City,Rapid City, SD ,57701,37,5.4,147 reviews,44.09857557,-103.2020794,Economy Class
"Hotel Alex Johnson Rapid City, Curio Collection by Hilton",Rapid City, SD ,57701,143,8.4,423 reviews,44.08044661,-103.2274989,Upper Upscale Class
Budget Inn Motel,Rapid City, SD ,57701,26,NA,NA,44.08813786,-103.2014483,Economy Class
Price Motel,Rapid City, SD ,57701,27,NA,NA,44.0870706,-103.2053239,Economy Class
Fair Value Inn,Rapid City, SD ,57701,27,NA,NA,44.10086699,-103.202944,Economy Class
Big Sky Lodge,Rapid City, SD ,57701,31,NA,NA,44.04498357,-103.2452524,Economy Class
Gold Star Motel,Rapid City, SD ,57701,26,NA,NA,44.08714031,-103.1981001,Economy Class
Thrifty Motor Inn,Rapid City, SD ,57701,26,NA,NA,44.09794169,-103.2023253,Economy Class
Econo Lodge Rapid City,Rapid City, SD ,57701,117,NA,NA,44.10574968,-103.2015865,Economy Class
Quality Inn & Suites I 90 Rapid City,Rapid City, SD ,57701,97,NA,NA,44.10008371,-103.2007248,Midscale Class
Town House Motel,Rapid City, SD ,57701,40,NA,NA,44.07904677,-103.2203244,Economy Class
Motel 6 Rapid City,Rapid City, SD ,57701,149,NA,NA,44.10353543,-103.2006885,Economy Class
The Grand Gateway Hotel,Rapid City, SD ,57701,133,NA,NA,44.10215109,-103.2043233,Upper Midscale Class
Ramada Rapid City,Rapid City, SD ,57701,209,NA,NA,44.10384837,-103.2037442,Midscale Class
Travelodge Rapid City,Rapid City, SD ,57701,99,NA,NA,44.06090896,-103.2336502,Economy Class
Best Western Ramkota Hotel,Rapid City, SD ,57701,267,7.4,703 reviews,44.10554868,-103.2049582,Midscale Class
Super 8 Rapid City Lacrosse Street,Rapid City, SD ,57701,118,NA,NA,44.10602971,-103.2024002,Economy Class
BW Premier Collection The Rushmore Hotel & Suites,Rapid City, SD ,57701,177,NA,NA,44.08210214,-103.2310456,Upscale Class
Americas Best Value Inn Rapid City,Rapid City, SD ,57701,95,NA,NA,44.10563965,-103.2237611,Economy Class
Microtel Inn & Suites by Wyndham Rapid City,Rapid City, SD ,57701,73,7.2,"1,276 reviews",44.10253661,-103.2012893,Economy Class
Super 8 Rapid City Rushmore Road,Rapid City, SD ,57701,98,NA,NA,44.06109993,-103.2306921,Economy Class
Days Inn Rapid City,Rapid City, SD ,57701,76,NA,NA,44.08012682,-103.2503369,Economy Class
Avanti Motel,Rapid City, SD ,57701,36,NA,NA,44.08333289,-103.2114246,Economy Class
Holiday Inn Express & Suites Rapid City I 90,Rapid City, SD ,57701,102,NA,NA,44.10599493,-103.2005467,Upper Midscale Class
Lazy U Motel,Rapid City, SD ,57701,25,NA,NA,44.06376853,-103.2326847,Economy Class
Quality Inn Rapid City,Rapid City, SD ,57701,63,NA,NA,44.05996632,-103.2315904,Midscale Class
AmericInn Lodge & Suites Rapid City,Rapid City, SD ,57701,96,NA,NA,44.10160145,-103.2013323,Midscale Class
Country Inn & Suites Rapid City,Rapid City, SD ,57701,103,NA,NA,44.10825617,-103.2031865,Upper Midscale Class
Motel Rapid,Rapid City, SD ,57702,34,NA,NA,NA, NA,Economy Class
Happy Holiday Motel,Rapid City, SD ,57702,31,NA,NA,43.98919414,-103.2699073,Midscale Class
Canyon Lake Resort ,Rapid City, SD ,57702,22,NA,NA,44.05815889,-103.2941499,Economy Class
Family Inn,Rapid City, SD ,57702,28,NA,NA,44.08802495,-103.2818991,Economy Class
Holiday Inn Express & Suites Rapid City Rushmore South,Rapid City, SD ,57702,99,NA,NA,44.01677618,-103.2464269,Upper Midscale Class
Days Inn West Rapid City,Rapid City, SD ,57702,54,NA,NA,44.07962997,-103.2499379,Economy Class
Comfort Suites Rapid City,Rapid City, SD ,57703,92,NA,NA,44.0978605,-103.1535732,Upper Midscale Class
Sleep Inn & Suites Rapid City,Rapid City, SD ,57703,80,8.4,621 reviews,44.0959387,-103.1498791,Midscale Class
Baymont Inn & Suites Rapid City,Rapid City, SD ,57703,91,NA,NA,44.09677092,-103.1487341,Midscale Class
La Quinta Inns & Suites Rapid City,Rapid City, SD ,57703,117,NA,NA,44.09917628,-103.148317,Upper Midscale Class
Fairfield Inn & Suites Rapid City,Rapid City, SD ,57703,141,8.5,313 reviews,44.09842409,-103.1489474,Upper Midscale Class
Best Western Plus Rapid City Rushmore,Rapid City, SD ,57703,97,9.2,546 reviews,44.0952321,-103.1547185,Upper Midscale Class
Wilson Motor Inn,Redfield, SD ,57469,24,NA,NA,44.87609138,-98.49970404,Economy Class
Super 8 Redfield,Redfield, SD ,57469,27,NA,NA,44.87405761,-98.52547067,Economy Class
Selby Motel,Selby, SD ,57472,34,NA,NA,45.50781286,-100.0389141,Economy Class
Super 8 Sioux Falls I 229 East,Sioux Falls, SD ,57103,56,NA,NA,43.54712183,-96.69306282,Economy Class
Hilton Garden Inn Sioux Falls Downtown,Sioux Falls, SD ,57103,136,8.5,149 reviews,43.54802616,-96.72467306,Upscale Class
Harvey Rushmore Motel,Sioux Falls, SD ,57103,32,NA,NA,43.54702577,-96.69476913,Economy Class
Country Inn & Suites Sioux Falls,Sioux Falls, SD ,57103,71,NA,NA,43.54733307,-96.72833472,Upper Midscale Class
WoodSpring Suites Sioux Falls,Sioux Falls, SD ,57104,124,6.4,51 reviews,43.53899039,-96.77861278,Economy Class
AGP Studios,Sioux Falls, SD ,57104,88,NA,NA,43.56465864,-96.74698269,Economy Class
Arena Motel,Sioux Falls, SD ,57104,26,NA,NA,43.56377778,-96.75895053,Economy Class
Super 8 Airport I 90,Sioux Falls, SD ,57104,54,NA,NA,43.60010944,-96.71092425,Economy Class
Days Inn Sioux Falls Airport,Sioux Falls, SD ,57104,87,NA,NA,43.60232414,-96.71205951,Economy Class
Econo Lodge Sioux Falls Near Airport,Sioux Falls, SD ,57104,81,NA,NA,43.60327198,-96.71029998,Economy Class
America Budget Lodge,Sioux Falls, SD ,57104,98,NA,NA,NA, NA,Economy Class
Cloud 9 Motel,Sioux Falls, SD ,57104,56,NA,NA,43.60092124,-96.71061253,Economy Class
Nites Inn,Sioux Falls, SD ,57104,53,NA,NA,43.54382706,-96.7434619,Economy Class
Sleep Inn Airport Sioux Falls,Sioux Falls, SD ,57104,64,7.6,263 reviews,43.56319485,-96.76059554,Midscale Class
Sheraton Hotel & Convention Center Sioux Falls,Sioux Falls, SD ,57104,243,NA,NA,43.56260678,-96.74826209,Upper Upscale Class
Holiday Inn & Suites Sioux Falls Airport,Sioux Falls, SD ,57104,116,NA,NA,43.5652817,-96.75553326,Upper Midscale Class
Happy Rest Motel,Sioux Falls, SD ,57104,18,NA,NA,43.5807808,-96.71170843,Economy Class
Hotel On Phillips,Sioux Falls, SD ,57104,90,NA,NA,43.54747658,-96.72664133,Midscale Class
Holiday Inn Sioux Falls City Centre,Sioux Falls, SD ,57104,290,NA,NA,43.54945178,-96.72755764,Upper Midscale Class
AeroStay Hotel,Sioux Falls, SD ,57104,76,NA,NA,43.58120866,-96.731919,Upper Midscale Class
Ramada Sioux Falls Airport Hotel & Suites,Sioux Falls, SD ,57104,150,NA,NA,43.56247438,-96.74618074,Midscale Class
Valley Inn,Sioux Falls, SD ,57105,63,NA,NA,43.53651178,-96.74035024,Economy Class
Home2 Suites by Hilton Sioux Falls Sanford Medical Center,Sioux Falls, SD ,57105,80,9,169 reviews,43.53557695,-96.74058473,Upper Midscale Class
Center Inn,Sioux Falls, SD ,57105,59,NA,NA,43.53526883,-96.71447216,Economy Class
Microtel Inn & Suites by Wyndham Sioux Falls,Sioux Falls, SD ,57106,68,7,"1,543 reviews",43.51838966,-96.77934922,Economy Class
Candlewood Suites Sioux Falls,Sioux Falls, SD ,57106,80,NA,NA,43.51977918,-96.77919327,Midscale Class
Red Roof Inn Sioux Falls,Sioux Falls, SD ,57106,97,NA,NA,43.51322739,-96.78265556,Economy Class
Days Inn Sioux Falls Empire,Sioux Falls, SD ,57106,79,NA,NA,43.51418602,-96.78476473,Economy Class
Super 8 Sioux Falls 41st Street,Sioux Falls, SD ,57106,91,NA,NA,43.51512244,-96.77633179,Economy Class
Comfort Suites Sioux Falls,Sioux Falls, SD ,57106,60,NA,NA,43.516274,-96.7782396,Upper Midscale Class
Ramada Sioux Falls,Sioux Falls, SD ,57106,66,NA,NA,43.54358664,-96.77566497,Midscale Class
Holiday Inn Express & Suites Sioux Falls @ Empire Mall,Sioux Falls, SD ,57106,117,NA,NA,43.52319366,-96.77770789,Upper Midscale Class
Hampton Inn Sioux Falls,Sioux Falls, SD ,57106,98,8.7,44 reviews,43.52365264,-96.77907045,Upper Midscale Class
Clubhouse Inn Hotel & Suites Sioux Falls,Sioux Falls, SD ,57106,100,NA,NA,43.52620265,-96.77362327,Upper Upscale Class
Staybridge Suites Sioux Falls At Empire Mall,Sioux Falls, SD ,57106,90,NA,NA,43.5229674,-96.77898807,Upscale Class
Springhill Suites Sioux Falls,Sioux Falls, SD ,57106,84,NA,NA,43.51387962,-96.77869922,Upscale Class
Courtyard Sioux Falls,Sioux Falls, SD ,57106,102,NA,NA,43.51352771,-96.77873207,Upscale Class
Fairfield Inn & Suites Sioux Falls,Sioux Falls, SD ,57106,60,8.9,165 reviews,43.50912563,-96.78149063,Upper Midscale Class
La Quinta Inns & Suites Sioux Falls,Sioux Falls, SD ,57106,89,NA,NA,43.51426608,-96.78308151,Upper Midscale Class
Best Western Empire Towers,Sioux Falls, SD ,57106,62,NA,NA,43.51616066,-96.77631281,Midscale Class
AmericInn  Hotel & Suites Sioux Falls,Sioux Falls, SD ,57106,64,NA,NA,43.5127478,-96.78252619,Midscale Class
Baymont inn & Suites Sioux Falls,Sioux Falls, SD ,57106,77,NA,NA,43.51634728,-96.78286953,Midscale Class
My Place Hotel Sioux Falls,Sioux Falls, SD ,57106,63,NA,NA,43.5178582,-96.77894365,Upper Midscale Class
Westwick Motel,Sioux Falls, SD ,57106,24,NA,NA,43.5434723,-96.79759302,Economy Class
Red Rock Inn,Sioux Falls, SD ,57106,83,NA,NA,43.51537738,-96.77815897,Economy Class
Quality Inn & Suites South Sioux Falls,Sioux Falls, SD ,57106,65,NA,NA,43.5160443,-96.77788846,Midscale Class
Residence Inn Sioux Falls,Sioux Falls, SD ,57106,66,8.5,33 reviews,43.5083008,-96.78070755,Upscale Class
TownePlace Suites Sioux Falls,Sioux Falls, SD ,57106,67,8.3,31 reviews,43.52872204,-96.78341129,Upper Midscale Class
Dakotah Lodge,Sioux Falls, SD ,57107,102,NA,NA,43.55647265,-96.76628199,Midscale Class
Fairfield Inn & Suites Sioux Falls Airport,Sioux Falls, SD ,57107,82,NA,NA,43.59087987,-96.75678004,Upper Midscale Class
Motel 6 Sioux Falls,Sioux Falls, SD ,57107,87,NA,NA,43.5681352,-96.77002973,Economy Class
Best Western Plus Ramkota Hotel,Sioux Falls, SD ,57107,225,7.4,299 reviews,43.57392814,-96.7698046,Upper Midscale Class
Baymont Sioux Falls West,Sioux Falls, SD ,57107,43,NA,NA,43.57033892,-96.77136823,Midscale Class
AmericInn Sioux Falls North,Sioux Falls, SD ,57107,78,NA,NA,43.57147964,-96.77085322,Midscale Class
Quality Inn & Suites Airport North Sioux Falls,Sioux Falls, SD ,57107,93,NA,NA,43.60674152,-96.76792273,Midscale Class
Comfort Inn & Suites Sioux Falls,Sioux Falls, SD ,57108,77,NA,NA,43.49085233,-96.7713863,Upper Midscale Class
Hilton Garden Inn Sioux Falls South,Sioux Falls, SD ,57108,103,8.5,146 reviews,43.49684946,-96.77222375,Upscale Class
Holiday Inn Express & Suites Sioux Falls Southwest,Sioux Falls, SD ,57108,92,NA,NA,43.49135695,-96.77276754,Upper Midscale Class
TownePlace Suites Sioux Falls South,Sioux Falls, SD ,57108,92,NA,NA,43.48701102,-96.76924923,Upper Midscale Class
Homewood Suites by Hilton Sioux Falls,Sioux Falls, SD ,57108,95,8.1,114 reviews,43.49157798,-96.76864507,Upscale Class
Hampton Inn & Suites Sioux Falls Southwest,Sioux Falls, SD ,57108,93,NA,NA,43.49054695,-96.77059829,Upper Midscale Class
Super 8 Sisseton,Sisseton, SD ,57262,37,NA,NA,45.65966796,-97.02265676,Economy Class
I 29 Motel,Sisseton, SD ,57262,29,NA,NA,45.66472647,-97.04977241,Economy Class
Crow Peak Lodge,Spearfish, SD ,57783,35,NA,NA,44.49175655,-103.8637584,Economy Class
Hampton Inn Spearfish,Spearfish, SD ,57783,60,7.9,131 reviews,44.47940725,-103.8133568,Upper Midscale Class
Travelodge Spearfish,Spearfish, SD ,57783,40,8.2,541 reviews,44.47664513,-103.8215722,Economy Class
Days Inn Spearfish,Spearfish, SD ,57783,50,NA,NA,44.50148014,-103.8579881,Economy Class
Super 8 Spearfish,Spearfish, SD ,57783,60,7.7,239 reviews,44.47386533,-103.8088041,Economy Class
Best Western Black Hills Lodge,Spearfish, SD ,57783,50,NA,NA,44.49269663,-103.8522694,Midscale Class
Fairfield Inn & Suites Spearfish,Spearfish, SD ,57783,54,7.8,71 reviews,44.48095183,-103.8135036,Upper Midscale Class
Quality Inn Spearfish,Spearfish, SD ,57783,40,7.5,141 reviews,44.48016332,-103.8134625,Midscale Class
Holiday Inn Spearfish Convention Center,Spearfish, SD ,57783,145,7.7,167 reviews,44.48060255,-103.8169071,Upper Midscale Class
Sherwood Lodge,Spearfish, SD ,57783,22,NA,NA,44.49058575,-103.8617711,Economy Class
Baymont Inn & Suites Spearfish,Spearfish, SD ,57783,64,NA,NA,44.47517105,-103.8148277,Midscale Class
All Star Travelers Inn,Spearfish, SD ,57783,45,NA,NA,44.49027398,-103.8658435,Economy Class
Best Western Sturgis Inn,Sturgis, SD ,57785,55,NA,NA,44.39723658,-103.5077227,Midscale Class
Super 8 Sturgis,Sturgis, SD ,57785,58,NA,NA,44.41847099,-103.5358766,Economy Class
Days Inn Sturgis,Sturgis, SD ,57785,53,NA,NA,44.41712858,-103.5347921,Economy Class
Baymont Inn & Suites Sturgis,Sturgis, SD ,57785,84,NA,NA,44.41823247,-103.5386803,Midscale Class
Ramada Summerset Rapid City West,Summerset, SD ,57718,55,8,137 reviews,44.19877977,-103.351401,Midscale Class
GrandStay Hotel & Suites Tea Sioux Falls,Tea, SD ,57064,50,NA,NA,43.46053955,-96.82410346,Upper Midscale Class
Prairie Inn,Vermillion, SD ,57069,31,NA,NA,42.78924488,-96.9296448,Economy Class
Best Western Vermillion Inn,Vermillion, SD ,57069,46,8.2,65 reviews,42.78741991,-96.94184567,Midscale Class
Westside Inn,Vermillion, SD ,57069,18,NA,NA,NA, NA,Economy Class
Holiday Inn Express & Suites Vermillion,Vermillion, SD ,57069,56,7.9,29 reviews,42.79295649,-96.92995283,Upper Midscale Class
Red Roof Inn Vermillion,Vermillion, SD ,57069,39,8.2,138 reviews,42.7872172,-96.91342813,Economy Class
Wagner Lakeside Resort,Wagner, SD ,57380,78,NA,NA,43.08256941,-98.30551875,Economy Class
Econo Lodge Wall,Wall, SD ,57790,48,NA,NA,43.98940729,-102.2396264,Economy Class
Americas Best Value Inn Wall,Wall, SD ,57790,44,7.4,490 reviews,43.98816864,-102.240646,Economy Class
Days Inn Wall,Wall, SD ,57790,32,NA,NA,43.98758,-102.239938,Economy Class
Super 8 Wall,Wall, SD ,57790,29,NA,NA,43.98994978,-102.2391441,Economy Class
Travelodge Wall,Wall, SD ,57790,39,6.7,443 reviews,43.98723263,-102.2404208,Economy Class
Welsh's Motel,Wall, SD ,57790,24,NA,NA,43.98842912,-102.2383608,Economy Class
Best Western Plains Motel,Wall, SD ,57790,74,NA,NA,43.98953254,-102.2386799,Midscale Class
Hillcrest Motel,Wall, SD ,57790,18,NA,NA,NA, NA,Economy Class
Sunshine Inn,Wall, SD ,57790,26,NA,NA,43.99150242,-102.2414312,Economy Class
Ann's Motel,Wall, SD ,57790,19,NA,NA,43.99467985,-102.2411824,Economy Class
Days Inn Watertown,Watertown, SD ,57201,57,8.1,157 reviews,44.88882458,-97.06740631,Economy Class
Dakota Sioux Casino Hotel,Watertown, SD ,57201,93,8,320 reviews,45.00394804,-97.14838471,Economy Class
Holiday Inn Express & Suites Watertown,Watertown, SD ,57201,66,NA,NA,44.89232837,-97.0715845,Upper Midscale Class
Drake Motor Inn,Watertown, SD ,57201,43,NA,NA,44.89124898,-97.1097915,Economy Class
Econo Lodge Watertown,Watertown, SD ,57201,47,7,148 reviews,44.88903278,-97.09224554,Economy Class
Country Inn & Suites Watertown,Watertown, SD ,57201,72,8.7,255 reviews,44.89193988,-97.06128003,Upper Midscale Class
Travel Inn,Watertown, SD ,57201,29,NA,NA,44.88953728,-97.14158937,Economy Class
Quality Inn & Suites Watertown,Watertown, SD ,57201,58,8.8,53 reviews,44.89202538,-97.05910673,Midscale Class
Ramkota Hotel & Watertown Event Center,Watertown, SD ,57201,101,7.5,55 reviews,44.89087649,-97.14433057,Upper Midscale Class
Hampton Inn Watertown,Watertown, SD ,57201,85,8.9,44 reviews,44.88925688,-97.070261,Upper Midscale Class
Guest House Motel,Watertown, SD ,57201,60,NA,NA,44.90229538,-97.11476611,Economy Class
Budget One Motel,Watertown, SD ,57201,41,NA,NA,44.89068398,-97.112242,Economy Class
Super 8 Watertown,Watertown, SD ,57201,57,NA,NA,44.88490699,-97.10807971,Economy Class
Boomers Outback Motel,Webster, SD ,57274,20,NA,NA,45.34185944,-97.52503762,Economy Class
Day County Inn,Webster, SD ,57274,26,NA,NA,45.34017886,-97.53610897,Economy Class
Tony's Motel,Whitewood, SD ,57793,25,NA,NA,44.46755882,-103.639217,Economy Class
Iron Horse Inn,Whitewood, SD ,57793,195,NA,NA,44.46047966,-103.6300707,Economy Class
Dakota Inn,Winner, SD ,57580,24,NA,NA,43.37315138,-99.84397254,Economy Class
Buffalo Trail Motel,Winner, SD ,57580,31,NA,NA,NA, NA,Economy Class
Knights Inn Winner,Winner, SD ,57580,37,NA,NA,43.37605255,-99.84576945,Economy Class
Super 8 Winner,Winner, SD ,57580,25,7.1,41 reviews,43.37726909,-99.84248642,Economy Class
Holiday Inn Express & Suites Winner,Winner, SD ,57580,59,NA,NA,43.37586347,-99.83722862,Upper Midscale Class
Starlite Inn Motel,Yankton, SD ,57078,22,NA,NA,42.87247986,-97.40609563,Economy Class
Broadway Inn,Yankton, SD ,57078,38,NA,NA,42.88276796,-97.39654173,Economy Class
Days Inn Yankton,Yankton, SD ,57078,56,6.8,313 reviews,42.89753324,-97.39669913,Economy Class
Best Western Kelly Inn,Yankton, SD ,57078,121,8,115 reviews,42.87817353,-97.36495233,Midscale Class
Travelodge Yankton,Yankton, SD ,57078,58,NA,NA,42.87749864,-97.36643731,Economy Class
Holiday Inn Express & Suites Yankton,Yankton, SD ,57078,58,8.9,86 reviews,42.90102912,-97.39850332,Upper Midscale Class
Lewis & Clark Resort,Yankton, SD ,57078,41,NA,NA,42.8733809,-97.49723377,Midscale Class
Econo Lodge Yankton,Yankton, SD ,57078,59,NA,NA,42.89400636,-97.4018911,Economy Class
