Name_of_Establishment,City,State,Zip Code,Rooms,rating_from_booking.com,number_of_reviews,image,lat,lon,Class
Best Western Golden Spike Inn & Suites,Hill City, SD ,57745,107,8.3,794 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/107514715.jpg?k=3eb0a8493277772673871c31c6e12d2a6b3c84d8323032462ddaf01d565abd60&o=,43.93480638,-103.5658259,Midscale Class
Comfort Inn & Suites Near Mount Rushmore Hill City,Hill City, SD ,57745,88,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.93292854,-103.5674888,Upper Midscale Class
Super 8 Hill City Mount Rushmore Area,Hill City, SD ,57745,57,6.9,277 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.93368295,-103.5762,Economy Class
Crooked Creek Resort,Hill City, SD ,57745,32,NA,NA,,43.89926325,-103.5920657,Economy Class
Hills Inn,Hot Springs, SD ,57747,35,8.7,430 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/51355121.jpg?k=07e0a14cc3057a7cf1e7602f857382429eaa97ddf257c57cb9857fc0cd2ddb8d&o=,43.42558149,-103.4702179,Economy Class
Dollar Inn,Hot Springs, SD ,57747,28,NA,NA,,43.44091326,-103.4753181,Economy Class
Econo Lodge Hot Springs,Hot Springs, SD ,57747,50,6.1,160 reviews,https://t-cf.bstatic.com/xdata/images/hotel/square200/291855815.jpg?k=c58d04032ccb639ec65aa26e30c33d03edf493fd56230f4d3f25fe2ef7871f7f&o=,43.42123581,-103.4664324,Economy Class
USA Stay Hotel & Suites,Hot Springs, SD ,57747,85,7.9,421 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.42047634,-103.4792356,Economy Class
Americas Best Value Inn by the River Hot Springs,Hot Springs, SD ,57747,31,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.43583479,-103.4819323,Economy Class
Skyline Motel,Hot Springs, SD ,57747,22,NA,NA,,43.44151429,-103.4746054,Economy Class
Super 8 Hot Springs,Hot Springs, SD ,57747,48,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.42337076,-103.4821231,Economy Class
Baymont Inn & Suites Hot Springs,Hot Springs, SD ,57747,51,7.3,416 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.42498962,-103.4688559,Midscale Class
WaterCrest Hotel & Conference Center,Howard, SD ,57349,24,7.4,15 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.01096011,-97.52703217,Midscale Class
Crossroads Hotel,Huron, SD ,57350,100,8,153 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.36145556,-98.21597959,Upper Midscale Class
Super 8 Huron,Huron, SD ,57350,67,6.5,51 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.34050933,-98.21486601,Economy Class
Traveler Motel,Huron, SD ,57350,18,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.36920674,-98.23508173,Economy Class
Quality Inn Huron,Huron, SD ,57350,60,7.6,73 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/169744428.jpg?k=db6cd18145462cd2d3fa54e03d5458a3207960cc359fdac63329bcb2cf0aad9e&o=,44.4966206,-98.28562731,Midscale Class
Dakota Inn,Huron, SD ,57350,71,7.1,23 reviews,https://t-cf.bstatic.com/xdata/images/hotel/square200/54517581.jpg?k=fcade067ad564677bb88be1bd3f617a3450c2d3acf667c45a46166cfd5fa2b64&o=,44.36936984,-98.19988866,Economy Class
Best Western Of Huron,Huron, SD ,57350,52,7.5,51 reviews,https://t-cf.bstatic.com/xdata/images/hotel/square200/252434604.jpg?k=7f321ed5f37bf05cc5063b017bcb8a4608c728ea481284d088835251217bee41&o=,44.34273418,-98.21331961,Midscale Class
Cedar Pass Lodge,Interior, SD ,57750,23,NA,NA,,43.74782303,-101.9452834,Midscale Class
Budget Host Badlands Motel,Interior, SD ,57750,21,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.72897718,-101.9788957,Economy Class
Badlands Inn,Interior, SD ,57750,18,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.73847239,-101.9620056,Economy Class
Americas Best Value Inn Kadoka,Kadoka, SD ,57543,30,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.83914253,-101.5246616,Economy Class
Lakota Lodge,Kadoka, SD ,57543,34,6.6,173 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/255697620.jpg?k=58dd411a9be05d0059c650e72bd006884db76b60a1a9ba9d13866857f60d9a00&o=,43.84298377,-101.5232668,Midscale Class
Budget Host Sundowner Motor Inn,Kadoka, SD ,57543,40,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.83712223,-101.5219662,Economy Class
West Motel,Kadoka, SD ,57543,16,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.83808184,-101.514338,Economy Class
Kadoka Inn,Kadoka, SD ,57543,39,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,NA, NA,Economy Class
Budget Host Kennebec,Kennebec, SD ,57544,16,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.8976643,-99.86443792,Economy Class
Baymont Inn & Suites Keystone Near Mt Rushmore,Keystone, SD ,57751,154,7.2,"1,611 reviews",https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.89441893,-103.4241736,Midscale Class
Super 8 Keystone Highway 16A,Keystone, SD ,57751,42,7.4,195 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.88729971,-103.4270953,Economy Class
Quality Inn Keystone,Keystone, SD ,57751,56,7.6,358 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.89196041,-103.4271838,Midscale Class
Holiday Inn Express & Suites Mt Rushmore Keystone,Keystone, SD ,57751,62,8.4,213 reviews,,NA, NA,Upper Midscale Class
Rodeway Inn Near Mount Rushmore Memorial Keystone,Keystone, SD ,57751,37,5,303 reviews,,43.90165071,-103.4132365,Economy Class
Rushmore View Inn,Keystone, SD ,57751,31,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.88900798,-103.4243897,Midscale Class
Powder House Lodge,Keystone, SD ,57751,37,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.90770441,-103.4371616,Midscale Class
Keystone Boardwalk Inn,Keystone, SD ,57751,33,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.89164187,-103.4261583,Midscale Class
The Lodge @ Mount Rushmore,Keystone, SD ,57751,50,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,NA, NA,Upper Midscale Class
Rushmore Express Inn & Family Suites,Keystone, SD ,57751,88,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.88723757,-103.424376,Upper Midscale Class
Ramada Keystone Near Mt Rushmore,Keystone, SD ,57751,90,7.6,990 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.89305673,-103.4244597,Midscale Class
The Magnuson Grand Rushmore View & RV Park,Keystone, SD ,57751,43,7.3,317 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.88896881,-103.4244373,Upper Midscale Class
Brookside Motel,Keystone, SD ,57751,27,NA,NA,,43.89376368,-103.4181918,Economy Class
Ascend Collection K Bar S Lodge,Keystone, SD ,57751,96,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.89667891,-103.4347898,Upscale Class
Roosevelt Inn,Keystone, SD ,57751,40,8.3,"1,239 reviews",https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.88768434,-103.4252867,Upscale Class
Dakota Winds Motel,Kimball, SD ,57355,26,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.74032104,-98.95743981,Economy Class
Lakota Prairie Ranch Resort,Kyle, SD ,57752,20,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.36952217,-102.2440412,Economy Class
Golden Hills Resort,Lead, SD ,57754,96,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,NA, NA,Midscale Class
Recreational Springs Resort,Lead, SD ,57754,24,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.29960066,-103.8085593,Midscale Class
Ponderosa Motor Lodge,Lead, SD ,57754,16,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.35702395,-103.7797633,Upper Midscale Class
Blackstone Lodge,Lead, SD ,57754,71,8.5,859 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.35458322,-103.7790046,Midscale Class
Spearfish Canyon Resort,Lead, SD ,57754,55,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.35202313,-103.931603,Upscale Class
Lemmon Country Inn,Lemmon, SD ,57638,30,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,45.93443903,-102.1340089,Economy Class
Golden Buffalo Casino & Resort,Lower Brule, SD ,57548,38,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.07162445,-99.57815593,Economy Class
AmericInn Lodge & Suites Madison,Madison, SD ,57042,38,8.4,97 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.99362738,-97.10741297,Midscale Class
Super 8 Madison,Madison, SD ,57042,34,7.4,51 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.00661378,-97.12995437,Economy Class
Crossroads Annex,Martin, SD ,57551,26,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.17197717,-101.731335,Economy Class
Crossroads Inn,Martin, SD ,57551,34,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.17197717,-101.731335,Economy Class
Super 8 Milbank,Milbank, SD ,57252,39,7.4,25 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,45.22435131,-96.61842843,Economy Class
GrandStay Hotel & Suites Milbank,Milbank, SD ,57252,46,NA,NA,,45.21222538,-96.63989534,Upper Midscale Class
Manor Motel,Milbank, SD ,57252,30,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,45.22237918,-96.62094592,Economy Class
Lantern Motel,Milbank, SD ,57252,29,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,45.21152873,-96.64138057,Economy Class
Dew Drop Inn Motel,Miller, SD ,57362,17,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.53124352,-98.99144219,Economy Class
Super 8 Miller,Miller, SD ,57362,21,6.1,38 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.52950491,-98.99035143,Economy Class
Quality Inn Rosebud Casino,Mission, SD ,57555,60,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,42.99917906,-100.5760119,Midscale Class
Rodeway Inn Mitchell ,Mitchell, SD ,57301,44,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.69707951,-98.04742017,Economy Class
Budget Inn,Mitchell, SD ,57301,27,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.70232938,-98.04517584,Economy Class
Quality Inn Mitchell,Mitchell, SD ,57301,59,7.4,297 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/310544194.jpg?k=394a22ef405927490b2ca6b533cee127910647227714f0330a7111b0cfcff618&o=,43.69847028,-98.01910065,Midscale Class
Kelly Inn & Suites,Mitchell, SD ,57301,78,7.9,950 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.68969011,-98.0115971,Upper Midscale Class
AmericInn Mitchell,Mitchell, SD ,57301,52,7.8,164 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.69583966,-98.01703812,Midscale Class
Comfort Inn & Suites Mitchell,Mitchell, SD ,57301,72,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.68993122,-98.00714136,Upper Midscale Class
Super 8 Mitchell,Mitchell, SD ,57301,105,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.69400645,-98.0112706,Economy Class
Days Inn Mitchell,Mitchell, SD ,57301,68,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.69572336,-98.01394727,Economy Class
Siesta Motel,Mitchell, SD ,57301,22,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.70275593,-98.04066553,Economy Class
Motel 6 Mitchell,Mitchell, SD ,57301,92,6.6,328 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.69746598,-98.04745167,Economy Class
Thunderbird Lodge,Mitchell, SD ,57301,48,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.69475242,-98.01624344,Economy Class
Holiday Inn Express & Suites Mitchell,Mitchell, SD ,57301,82,8.9,172 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.68822625,-98.01383005,Upper Midscale Class
Ramada Mitchell Hotel & Conference Center,Mitchell, SD ,57301,122,6.6,704 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.70125453,-98.04567683,Midscale Class
Coach Light,Mitchell, SD ,57301,20,NA,NA,,43.70242322,-98.03800637,Economy Class
Hampton Inn Mitchell,Mitchell, SD ,57301,75,9.4,16 reviews,https://t-cf.bstatic.com/xdata/images/hotel/square200/3617392.jpg?k=809b8945917194ba71d1e72bbb41e292eb397fcf30e88ec35055e0be4fa13538&o=,43.69109241,-98.00805333,Upper Midscale Class
Corn Palace Motel,Mitchell, SD ,57301,36,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.69590599,-98.01761189,Economy Class
Corn Palace Inn,Mitchell, SD ,57301,77,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.70022926,-98.01895963,Midscale Class
Mo Rest Motel,Mobridge, SD ,57601,27,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,45.53788092,-100.4427699,Economy Class
Mobridge Kountry Inn,Mobridge, SD ,57601,30,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,45.54573197,-100.4520757,Economy Class
Wrangler Inn,Mobridge, SD ,57601,60,7.8,48 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,45.53813059,-100.4442679,Upper Midscale Class
Range Country Lodging,Murdo, SD ,57559,41,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.88732908,-100.7167704,Economy Class
Best Western Graham's,Murdo, SD ,57559,45,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.88611958,-100.7161537,Midscale Class
Super 8 Murdo,Murdo, SD ,57559,52,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.88474451,-100.7063833,Economy Class
Anchor Inn,Murdo, SD ,57559,29,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.88646357,-100.7123151,Economy Class
American Inn Express,Murdo, SD ,57559,21,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.88634167,-100.7093915,Economy Class
LandMark Country Inn,Murdo, SD ,57559,20,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.87639211,-100.708279,Economy Class
Sioux Motel,Murdo, SD ,57559,24,NA,NA,,43.88683743,-100.7102442,Economy Class
Days Inn North Sioux City,North Sioux City, SD ,57049,49,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,42.52571502,-96.50094633,Economy Class
Super 8 North Sioux City ,North Sioux City, SD ,57049,44,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,42.52525261,-96.50264229,Economy Class
Hampton Inn North Sioux City,North Sioux City, SD ,57049,65,8.4,136 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/181047620.jpg?k=a9871baa25b2bf2a95d0e744889cd3d0c49281071cc7678f809470968e6aae9d&o=,42.52416687,-96.50239617,Upper Midscale Class
Red Carpet Inn & Suites North Sioux City,North Sioux City, SD ,57049,33,6.4,93 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/292883022.jpg?k=2feebcf48e813fbf1775d259cea6d44afdf2b5266c6cf692e3931dd712401f95&o=,42.5255085,-96.50201289,Economy Class
Baymont Inn & Suites Oacoma,Oacoma, SD ,57365,53,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.80340625,-99.3803996,Midscale Class
Econo Lodge Oacoma,Oacoma, SD ,57365,43,6.9,201 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/140478700.jpg?k=b7a9c11c0ecaf81376be8766990330a4415d3b94c7f41b67b04f2097da972bd5&o=,43.80309834,-99.39032842,Economy Class
Quality Inn Oacoma,Oacoma, SD ,57365,50,7.7,124 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/169743585.jpg?k=812ff9ed3b7ed106726bfa3d8c22072540bf93bcca7b3f06527c433e24e3b91c&o=,43.80318482,-99.39596523,Midscale Class
Howard Johnson Inn & Suites Oacoma,Oacoma, SD ,57365,50,8,608 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.80219202,-99.39283987,Economy Class
Cedar Shore Resort,Oacoma, SD ,57365,99,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.82930611,-99.34295967,Upscale Class
Dakota Horizinn,Parkston, SD ,57366,44,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.39596314,-97.99686662,Economy Class
Motel West,Philip, SD ,57567,20,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.04462811,-101.6600048,Economy Class
Fort Randall Casino & Hotel,Pickstown, SD ,57367,57,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.08306342,-98.47557706,Economy Class
Fort Randall Inn,Pickstown, SD ,57367,17,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.06874079,-98.53851266,Economy Class
Dakota Inn,Pickstown, SD ,57367,25,7.1,23 reviews,https://t-cf.bstatic.com/xdata/images/hotel/square200/54517581.jpg?k=fcade067ad564677bb88be1bd3f617a3450c2d3acf667c45a46166cfd5fa2b64&o=,43.07060652,-98.53025267,Economy Class
Elk Creek Resort & Lodge,Piedmont, SD ,57769,22,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.22728151,-103.3546224,Economy Class
